id,name,staticDataUrl,dynamicDataUrl,limitedAccess,uuid,latitude,longitude,city,country_code,province,region,mark,usage,accessPoints,capacity,contactPersons,minimumHeightInMeters,openingTimes,tariffs
1,"Binnenstad Diepenring 1",https://npropendata.rdw.nl/parkingdata/v2/static/dfa45ccc-8cda-4282-a2c4-8278a1b1bc03,,0,dfa45ccc-8cda-4282-a2c4-8278a1b1bc03,53.2170387102436,6.56752115128845,Groningen,nl,Groningen,Noord-Nederland,onstreet,onstreet,0,,1,,0,1
2,"Carpool Joure A7/A6 (Joure)",https://npropendata.rdw.nl/parkingdata/v2/static/e217363a-31a1-48e2-bd3b-956752d495be,,0,e217363a-31a1-48e2-bd3b-956752d495be,52.959173,5.811899,"De Fryske Marren",nl,"Fryslân",Noord-Nederland,average,carpool,1,105,0,0.0,1,1
3,"Spoorlaan langsparkeren",https://npropendata.rdw.nl/parkingdata/v2/static/11d68ee8-7a4b-48c2-93c8-80ffe0c80d46,,0,11d68ee8-7a4b-48c2-93c8-80ffe0c80d46,50.8702389573924,5.82973990531199,"Valkenburg aan de Geul",nl,Limburg,Zuid-Nederland,onstreet,onstreet,0,,0,,0,1
4,"Garage Scheepjeshof (Veenendaal)",https://npropendata.rdw.nl/parkingdata/v2/static/0cbc7e9b-71b6-456a-bcc6-1c95f7297c29,,0,0cbc7e9b-71b6-456a-bcc6-1c95f7297c29,,,,,,,bad,garage,0,,0,,0,1
5,"P+R, Leeuwenveldseweg, Weesp (Weesp)",https://npropendata.rdw.nl/parkingdata/v2/static/2689d021-fb4b-4f02-8143-fd97339719a3,,0,2689d021-fb4b-4f02-8143-fd97339719a3,,,,,,,bad,"park and ride",0,,0,,0,1
6,Nobelaerstraat,https://npropendata.rdw.nl/parkingdata/v2/static/cbd6f093-564c-4d6b-88e0-78bea05b9189,,0,cbd6f093-564c-4d6b-88e0-78bea05b9189,52.0547459219379,4.33387113484094,Rijswijk,nl,Zuid-Holland,Zuidwest-Nederland,onstreet,onstreet,0,,0,,0,1
7,"WP60C Westerpark 1.3 Witteneiland",https://npropendata.rdw.nl/parkingdata/v2/static/e9f57747-c1e6-47df-ba7f-e4df9651daaf,,0,e9f57747-c1e6-47df-ba7f-e4df9651daaf,52.3830306629109,4.87864835066999,Amsterdam,nl,Noord-Holland,Noordwest-Nederland,onstreet,onstreet,0,,0,,0,0
8,Gasthuisstraat,https://npropendata.rdw.nl/parkingdata/v2/static/fb2531ea-0d2b-41d2-9481-baedcf3257a0,,0,fb2531ea-0d2b-41d2-9481-baedcf3257a0,52.3113111845149,6.92889973177717,Oldenzaal,nl,Overijssel,Oost-Nederland,onstreet,onstreet,0,,1,,0,1
9,"Garage Middenweg (Heerhugowaard)",https://npropendata.rdw.nl/parkingdata/v2/static/c2bdc402-ecf6-4732-97ab-cfd8abb65a33,,0,c2bdc402-ecf6-4732-97ab-cfd8abb65a33,52.661951,4.830819,Heerhugowaard,nl,Noord-Holland,Noordwest-Nederland,average,garage,1,551,0,2.1,1,1
10,"P+R Station Gilze-Rijen (Rijen)",https://npropendata.rdw.nl/parkingdata/v2/static/ceb3916b-35b1-4079-bc49-648c0dd16ebf,,0,ceb3916b-35b1-4079-bc49-648c0dd16ebf,51.583859,4.926621,"Gilze en Rijen",nl,Noord-Brabant,Zuid-Nederland,average,"park and ride",1,182,0,0.0,1,1
11,"vergunningzone 4 centrum Almere Stad",https://npropendata.rdw.nl/parkingdata/v2/static/5175f0c1-06db-4abf-8c87-ab697856d6bd,,0,5175f0c1-06db-4abf-8c87-ab697856d6bd,52.3700658012035,5.22313693294218,Almere,nl,Flevoland,Noordwest-Nederland,onstreet,onstreet,0,,1,,0,0
